ngram_ids,count,smoothed_count
"(521, 97)",16,16.01
"(128, 1253)",16,16.01
"(117, 227)",16,16.01
"(89, 1905)",16,16.01
"(163, 114)",16,16.01
"(698, 9)",16,16.01
"(702, 93)",16,16.01
"(595, 10)",16,16.01
"(2567, 2123)",16,16.01
"(73, 134)",16,16.01
"(102, 704)",16,16.01
"(223, 213)",16,16.01
"(548, 88)",16,16.01
"(313, 9)",16,16.01
"(307, 101)",16,16.01
"(93, 488)",16,16.01
"(378, 153)",16,16.01
"(438, 9)",16,16.01
"(214, 34)",15,15.01
"(923, 101)",15,15.01
"(99, 237)",15,15.01
"(317, 97)",15,15.01
"(488, 54)",15,15.01
"(190, 160)",15,15.01
"(117, 506)",15,15.01
"(93, 396)",15,15.01
"(142, 218)",15,15.01
"(127, 225)",15,15.01
"(101, 166)",15,15.01
"(141, 595)",15,15.01
"(97, 1000)",15,15.01
"(85, 1237)",15,15.01
"(404, 97)",15,15.01
"(102, 134)",15,15.01
"(9, 94)",15,15.01
"(604, 9)",15,15.01
"(85, 1515)",15,15.01
"(547, 181)",15,15.01
"(89, 315)",15,15.01
"(302, 1993)",15,15.01
"(116, 263)",15,15.01
"(73, 114)",15,15.01
"(88, 1722)",15,15.01
"(85, 637)",15,15.01
"(11, 824)",15,15.01
"(183, 93)",15,15.01
"(117, 353)",15,15.01
"(117, 9)",15,15.01
"(85, 40)",15,15.01
"(97, 548)",15,15.01
"(88, 671)",15,15.01
"(171, 9)",15,15.01
"(315, 142)",15,15.01
"(683, 9)",15,15.01
"(97, 554)",15,15.01
"(1451, 101)",15,15.01
"(380, 97)",15,15.01
"(72, 102)",15,15.01
"(94, 147)",15,15.01
"(102, 685)",15,15.01
"(413, 9)",15,15.01
"(409, 201)",15,15.01
"(99, 102)",15,15.01
"(117, 664)",15,15.01
"(413, 11)",15,15.01
"(93, 426)",15,15.01
"(10, 72)",15,15.01
"(426, 93)",15,15.01
"(706, 382)",15,15.01
"(88, 561)",15,15.01
"(244, 153)",15,15.01
"(93, 840)",15,15.01
"(203, 54)",15,15.01
"(272, 9)",15,15.01
"(11, 1433)",15,15.01
"(88, 240)",15,15.01
"(101, 798)",15,15.01
"(153, 697)",15,15.01
"(443, 98)",15,15.01
"(93, 296)",15,15.01
"(1617, 102)",15,15.01
"(88, 1160)",15,15.01
"(254, 89)",15,15.01
"(93, 237)",15,15.01
"(99, 89)",15,15.01
"(135, 852)",15,15.01
"(171, 794)",15,15.01
