ngram_ids,count,smoothed_count
"(129, 102)",13,13.01
"(102, 495)",13,13.01
"(103, 93)",12,12.01
"(288, 109)",12,12.01
"(2935, 1173)",12,12.01
"(640, 272)",12,12.01
"(163, 88)",12,12.01
"(2857, 67)",12,12.01
"(399, 9)",12,12.01
"(88, 225)",12,12.01
"(11, 45)",12,12.01
"(547, 181)",12,12.01
"(135, 622)",12,12.01
"(113, 98)",12,12.01
"(297, 160)",12,12.01
"(54, 876)",12,12.01
"(89, 9)",12,12.01
"(203, 54)",12,12.01
"(1275, 102)",12,12.01
"(73, 9)",12,12.01
"(280, 158)",12,12.01
"(160, 101)",12,12.01
"(1119, 9)",12,12.01
"(111, 9)",12,12.01
"(88, 480)",12,12.01
"(101, 1804)",12,12.01
"(2089, 234)",12,12.01
"(552, 114)",12,12.01
"(88, 923)",12,12.01
"(9, 630)",12,12.01
"(172, 89)",12,12.01
"(397, 186)",12,12.01
"(166, 509)",12,12.01
"(89, 383)",12,12.01
"(297, 201)",12,12.01
"(88, 1842)",12,12.01
"(142, 90)",12,12.01
"(1210, 940)",12,12.01
"(73, 11)",12,12.01
"(11, 1482)",12,12.01
"(290, 104)",12,12.01
"(113, 147)",12,12.01
"(163, 181)",12,12.01
"(353, 54)",12,12.01
"(11, 38)",12,12.01
"(577, 9)",12,12.01
"(127, 421)",12,12.01
"(88, 69)",12,12.01
"(310, 101)",12,12.01
"(88, 951)",12,12.01
"(127, 106)",12,12.01
"(54, 1716)",12,12.01
"(166, 198)",12,12.01
"(2988, 102)",12,12.01
"(116, 548)",12,12.01
"(475, 9)",12,12.01
"(11, 1433)",12,12.01
"(390, 88)",12,12.01
"(1397, 88)",12,12.01
"(93, 188)",12,12.01
"(197, 102)",12,12.01
"(93, 72)",12,12.01
"(103, 89)",12,12.01
"(470, 101)",12,12.01
"(171, 9)",12,12.01
"(497, 1016)",12,12.01
"(88, 71)",12,12.01
"(2840, 966)",12,12.01
"(96, 188)",12,12.01
"(10, 2474)",12,12.01
"(88, 2364)",12,12.01
"(167, 54)",12,12.01
"(181, 88)",12,12.01
"(392, 177)",12,12.01
"(184, 11)",12,12.01
"(113, 93)",12,12.01
"(190, 102)",12,12.01
"(9, 380)",12,12.01
"(1576, 9)",12,12.01
"(11, 1053)",12,12.01
"(2975, 177)",12,12.01
"(449, 88)",12,12.01
"(598, 166)",12,12.01
"(307, 11)",12,12.01
"(181, 163)",12,12.01
"(407, 127)",12,12.01
"(410, 9)",12,12.01
"(704, 109)",12,12.01
"(11, 599)",12,12.01
"(545, 9)",12,12.01
"(116, 552)",12,12.01
"(34, 1162)",12,12.01
"(2824, 507)",12,12.01
"(88, 1230)",12,12.01
"(2642, 1111)",12,12.01
"(103, 54)",12,12.01
"(606, 102)",12,12.01
"(214, 153)",12,12.01
"(724, 434)",12,12.01
"(193, 153)",12,12.01
"(944, 11)",12,12.01
"(102, 183)",12,12.01
"(743, 11)",12,12.01
"(191, 213)",12,12.01
"(54, 210)",12,12.01
"(268, 54)",12,12.01
"(674, 68)",12,12.01
"(109, 442)",11,11.01
"(188, 369)",11,11.01
"(272, 11)",11,11.01
"(10, 1737)",11,11.01
"(1389, 9)",11,11.01
"(409, 201)",11,11.01
"(181, 483)",11,11.01
"(88, 1941)",11,11.01
"(366, 95)",11,11.01
"(2583, 104)",11,11.01
"(48, 1575)",11,11.01
"(113, 89)",11,11.01
"(673, 494)",11,11.01
"(54, 55)",11,11.01
"(54, 63)",11,11.01
"(55, 1785)",11,11.01
"(106, 66)",11,11.01
"(4, 1165)",11,11.01
"(61, 9)",11,11.01
"(195, 1632)",11,11.01
"(1974, 89)",11,11.01
"(191, 153)",11,11.01
"(462, 9)",11,11.01
"(101, 171)",11,11.01
"(102, 333)",11,11.01
"(104, 54)",11,11.01
"(2965, 72)",11,11.01
"(88, 1136)",11,11.01
"(2206, 130)",11,11.01
"(88, 2036)",11,11.01
"(9, 1352)",11,11.01
"(452, 11)",11,11.01
"(127, 9)",11,11.01
"(179, 9)",11,11.01
"(88, 1597)",11,11.01
"(598, 172)",11,11.01
"(572, 979)",11,11.01
"(2710, 56)",11,11.01
"(132, 166)",11,11.01
"(181, 844)",11,11.01
"(127, 11)",11,11.01
"(2007, 639)",11,11.01
"(609, 1377)",11,11.01
"(728, 134)",11,11.01
"(462, 11)",11,11.01
"(539, 113)",11,11.01
"(292, 88)",11,11.01
"(68, 64)",11,11.01
"(1335, 113)",11,11.01
"(662, 1462)",11,11.01
"(101, 492)",11,11.01
"(188, 399)",11,11.01
"(252, 163)",11,11.01
"(205, 138)",11,11.01
"(1651, 66)",11,11.01
"(296, 102)",11,11.01
"(88, 293)",11,11.01
"(30, 11)",11,11.01
"(193, 54)",11,11.01
"(440, 11)",11,11.01
"(453, 203)",11,11.01
"(101, 725)",11,11.01
"(107, 54)",11,11.01
"(314, 2710)",11,11.01
"(709, 11)",11,11.01
"(9, 106)",11,11.01
"(134, 407)",11,11.01
"(385, 134)",11,11.01
"(88, 1346)",11,11.01
"(73, 108)",11,11.01
"(497, 127)",11,11.01
"(109, 421)",11,11.01
"(1108, 11)",11,11.01
"(310, 117)",11,11.01
"(88, 737)",11,11.01
"(556, 9)",11,11.01
"(292, 134)",11,11.01
"(263, 245)",11,11.01
"(270, 141)",11,11.01
"(188, 852)",11,11.01
"(34, 1178)",11,11.01
"(88, 1057)",11,11.01
"(31, 89)",11,11.01
"(126, 309)",11,11.01
"(88, 231)",11,11.01
"(89, 364)",11,11.01
"(155, 147)",11,11.01
"(286, 101)",11,11.01
"(3, 34)",11,11.01
"(134, 6)",11,11.01
"(2575, 273)",11,11.01
"(267, 188)",11,11.01
"(54, 2137)",11,11.01
"(365, 140)",11,11.01
"(356, 201)",11,11.01
"(149, 9)",11,11.01
"(2506, 782)",11,11.01
"(88, 622)",11,11.01
"(132, 101)",11,11.01
"(238, 2316)",11,11.01
"(34, 385)",11,11.01
"(1136, 9)",11,11.01
"(132, 127)",11,11.01
"(561, 11)",11,11.01
"(195, 1895)",11,11.01
"(888, 379)",11,11.01
"(106, 128)",11,11.01
"(2956, 111)",11,11.01
"(286, 11)",11,11.01
"(555, 656)",11,11.01
"(339, 88)",11,11.01
"(88, 1214)",11,11.01
"(191, 181)",11,11.01
"(686, 106)",11,11.01
"(93, 134)",11,11.01
